되게|很、非常（口语）
진심만큼|像真心那样、达到真心那种程度
큰|大的、强大的
힘이|力量（作主语）
없다고|说没有、认为不存在
어|嗯；啊（迟疑、回应或惊讶）
년|年（跟在数字后）
동안|期间、在……时间里
정말|真的、确实
즐거운|愉快的、开心的
일도|事情也
너무너무|非常非常、特别特别
많았고|曾经很多，而且……
사실은|其实、实际上
저희끼리도|就我们几个之间也
밤새|整夜、通宵
이야기를|谈话、故事（作宾语）
나눠야|必须分享、需要交谈
할|要做、将要做
만큼|达到……程度、像……那么
저희가|我们（自谦，作主语）
조금은|多少有点、稍微
감당하기|承受、应付（动作名词化）
어려운|困难的、难以应对的
문제들도|问题也（复数）
있었는데요|曾经有过……（引出下文）
그래도|即便如此、尽管这样
문제들을|这些问题（作宾语）
통해서|通过、借助
저희|我们（自谦）
멤버|成员
명이|人（人数单位，作主语）
더|更、更加；再
단단히|牢牢地、紧紧地
뭉치고|凝聚在一起，并……
좋은|好的
팀이|团队（作主语或补语）
수|可能性、办法（在 될 수 있다 中表示“能够”）
있었다고|说曾经有、认为曾经能够
생각을|想法、思考（作宾语）
합니다|做（正式礼貌说法）
이|这、这个
일을|事情、工作（作宾语）
일이|事情、工作（作主语）
주어졌을|被给予、被交到手上之后的
때|时候
그리고|然后、而且
그걸|那个、那件事（그것을 的缩略）
준비하고|准备，并且……
겪어냈을|经历并熬过之后的
오는|到来的、随之而来的
결과가|结果（作主语）
또|又、还
안|不、没有（否定后面的词）
좋았을|好过的；前有 안 时为“结果不好的”
좌절감과|挫折感和……
실망감이|失望感（作主语）
너무|太、非常
크다는|说很大、认为很强烈的
것을|事、东西；把前面的内容作为宾语
잘|好好地；很、清楚地
알고|知道、了解，并……
있는데|正处于……状态，不过……
물론|当然
준비한|准备过的
것에|对于那件事、在那件事上
대해서|关于、对于
별거|什么大不了的事（常与否定连用）
아니라는|说不是……的
말을|话（作宾语）
주변에서|在身边、周围的人那里
괜찮아|没关系、没事（随意说法）
아니니까|因为不是……
다음에|下次、之后
잘하면|如果做得好
되라는|说……就行、叫人……就好
말이|话（作主语）
오히려|反而
슬플|会难过的、感到悲伤的
있더라고요|发现曾经有、回想起来确实有
나|我（随意说法）
준비했는데|已经准备了，可是……
왜|为什么
아니라고|说不是……
말하지|说呢（这里是带疑惑的自问）
라는|说……的（连接所引用的话）
생각도|想法也、念头也
들면서|一边浮现、一边产生
아니어서|因为不是……
한다기보다는|与其说是在说、在做……，不如说……
어린|年幼的、年轻的
나이고|是……年纪，并且……
앞으로|今后、往后
주어질|将被给予的、将到来的
기회가|机会（作主语）
많다는|说很多、认为很多的
본인은|本人呢、自己呢
모르겠지만|可能不知道，不过……
우리|我们
모든|所有的
사람들이|人们（作主语）
있기|存在、处于某状态（名词化）
인생이|人生（作主语）
끝난|结束了的
것|事情、东西；将前面的话名词化
같다는|说好像……、觉得仿佛……的
좌절감에는|对于那种挫折感、陷于那种挫折感时
절대|绝对（通常强调否定）
휩싸이지|被笼罩、被卷入（此处后接否定）
않으셔도|即使不……也可以（尊敬说法）
주어진|被给予的、摆在面前的
기회도|机会也
많을|将有很多的
거고|会……，并且……（것이고 的口语形式）
상상치도|连想象都……（상상하지도 的缩略）
못한|没能做到的、不曾做到的
새로운|全新的、新的
일들도|事情也（复数）
있는|有的、存在的；正在……的
게|事情（것이 的口语缩略）
사회잖아요|这就是社会啊、社会不就是如此嘛
그래서|所以、因此
좌절하지|气馁、受挫（此处后接否定）
않으셨으면|希望您不要……（尊敬说法）
좋겠고|希望能……，并且……
처음부터|从一开始
끝까지|到最后、一直到底
응원의|支持的、鼓励的
말들만|只说那些话、只有那些话
좀|一点、稍微；缓和语气
해드리고|为您做，并且……（自谦）
싶다는|说想要……的
듭니다|产生、浮现（这里指产生想法）
혹시|或许；请问、有没有（委婉开头）
진주가|珍珠（作主语）
만들어지는지|是怎样形成的、是否被做出来
아세요|您知道吗（尊敬说法）
몰라요|不知道
조개|贝、贝壳类动物
안에|在里面
이물질이|异物（作主语）
들어가서|进去以后、因为进去了
조개가|贝（作主语）
엄청|特别、非常（口语）
고통스러운|痛苦的
시간을|时间（作宾语）
보낸|度过了的
나온단|说会出来、会产生（나온다는 的缩略）
말이에요|意思是……、就是说……
것처럼|就像那样、像……一样
고통으로|通过痛苦、凭借这份痛苦
나만의|只属于我自己的
만들어질|将被形成的、会做出来的
거다라는|说将会……的（引用预想）
믿음과|信念和……
힘든|艰难的、辛苦的
시간과|时间与……
증오에게|面对仇恨、向仇恨
나의|我的
잃지|失去（此处后接否定）
않겠다는|表示决不……的
다짐을|决心、誓言（作宾语）
새기고|铭记、刻在心里，并……
피어나는|피어나（此处的称呼）＋主题助词 는；字面也可作“绽放的”
지켜야겠다|得守护好、一定要保护
이제|现在、如今
주년을|周年（作宾语，前接数字）
눈앞에|在眼前、近在眼前
두고|放着、面临着
있잖아요|不是正……嘛、你也知道正……
비교적|比较、相对而言
최근에|最近、近期
저희를|我们（自谦，作宾语）
좋아하기|喜欢（动作名词化）
시작하신|开始了的（尊敬说法）
분들도|各位也、那些人也（尊称）
분명|肯定、一定
계시겠지만|想必有这样的人，不过……（尊敬）
년이라는|所谓……年、这……年的
시간이|时间（作主语）
흘러가는데|流逝着，而……
그|那、那个
시간|时间、时光
여러분들이|大家、各位（作主语）
서로|彼此、互相
나눴던|曾经分享过的
시간들은|那些时光呢
누구도|任何人都（与否定搭配）
값어치를|价值（作宾语）
매길|评定、衡量（将要或可能的形式）
없는|没有的、无法做到的
시간이라고|说是那段时光、认为是时间
생각해요|我认为、我觉得
뭔가|什么、某种东西；总觉得
뒤|之后、后面
뒤에|在……之后
함께|一起、共同
있을지는|是否还会在、能否仍处于……状态
아직|还、尚且
분명히|一定、明确地、确实
년간의|……年间的
시간들이|那些时光（作主语）
여러분들에게|给大家、对各位
원동력이|原动力、推动力（作主语或补语）
거라고|说会……、认为会……
생각하거든요|因为我是这么认为的、我觉得是这样
맞죠|对吧、没错吧
그렇기|如此、是那样（名词化）
봐왔던|一直看过来的、一路见证过的
눈에|在眼中、用眼睛
담았던|曾经装入、记录过的
핸드폰으로|用手机
귀로|用耳朵
들었던|曾听过的
을|宾语助词（这里接在团名后）
오래오래|长长久久地、很久很久
기억해|记住（接后面的请求表达）
주셨으면|希望您能为我……（尊敬请求）
돌아올|将回来、将回归的
이들|这些人（这里跟在团名后指成员们）
기대해|期待（接后面的请求表达）
주시면서|一边为我……（尊敬表达）
기다려|等、等待
좋겠습니다|希望能……就好了（正式礼貌）
감사하고|感谢，并且……
사랑합니다|爱你们、我爱你（正式礼貌）
쿠팡에서|在Coupang购物平台上
머리띠를|发带、发箍（作宾语）
샀어요|买了
이거|这个（이것 的口语说法）
대박입니다|太厉害了、太绝了
두|两（用在量词前）
개|个（数量单位）
천|千
얼마|多少；这里表示某个零头
가지고|拿着、用（这里指用这笔钱）
샀는데|买了，可是……
들어와서|进入、到了……之后
한|做过的（하다 的过去定语形）
소비|消费
중에|当中、在……之中
지금|现在
가장|最
마음에|合心意、在心里（마음에 들다：喜欢、中意）
들어요|中意、喜欢（这里与 마음에 连用）
다이소에서|在Daiso商店
원이라고|说是……韩元？（重复确认价格）
배를|倍（倍数，作宾语）
주고|付出、给了，然后……
샀네|原来买了、竟然买了（恍然发现）
괜찮아요|没关系、没事
어차피|反正、无论如何
다이소|Daiso（商店名）
갈|要去的、能去的
없기|没有（名词化，后接原因）
괜찮습니다|没关系、没问题（正式礼貌）
들어서|因为喜欢、中意（这里与 마음에 连用）
정도는|这种程度、这么一点的话
투자한|投入过的、投资了的
이렇게|这样、如此
사람들|人们
앞에서|在……面前
마이크를|麦克风（作宾语）
쥐고|握着、抓着
서보는|试着站上去的、站在那里的
제|我的（自谦）
오랜|长久的、很久以来的
꿈이었어요|曾是梦想、是一直以来的梦想
사실|其实、事实上
별다른|特别的、与众不同的
목적은|目的呢、说到目的
없었고|过去没有，而且……
즐기면서|一边享受、一边开心地做
하다|做（原形）
보니까|做着做着就发现、经历后发现
마마|MAMA（此处的颁奖礼名称）
무대까지|连舞台也、直到舞台
가능해지더라고요|后来竟变得可能了
과정에서|在过程当中
사람들은|人们呢、说到人们
자꾸만|总是、反复地
묻습니다|问、追问（正式礼貌）
별났는지|为什么特别、为什么与众不同
생겼는지|长成什么样、为什么长这样
애매한|模糊的、不明确的
재능으로|凭借才能、用才华
뭔가를|某种东西、某些事情（作宾语）
자꾸|不断、总是
이뤄내고|实现、取得成果，并……
있는지|是否正在……、怎样处于……状态
글쎄요|这个嘛、不好说呢
왜는|所谓“为什么”呢（把疑问词当作话题）
없었고요|并没有，而且……（礼貌接续）
나는|我呢（随意说法）
그저|只是、仅仅
나였습니다|是我自己（过去、正式礼貌）
어쩌면|或许、说不定
나이기|是我自己（名词化，后接原因）
것이|事情、东西（作主语）
가능했던|曾经可能的、得以实现的
거|事情、东西（것 的口语形式）
아닐까요|不是……吗、会不会是……呢
원동력은|原动力呢、说到推动力
스스로에게서|从自己身上、来自自己
받을|得到、接受（将要或可能的形式）
제일|最
같아요|好像、觉得是……
뭐|什么；嗯、怎么说呢（口头缓冲）
다른|别的、其他的
어떤|什么样的、某种
원동력|原动力、推动力
친구가|朋友（作主语或补语）
가족이|家人（作主语或补语）
강아지가|小狗（作主语或补语）
다|都、全部
그렇지만|虽然如此、但是
결론적으로는|归根结底、说到底
잘하고|做好，并且……
싶다|想要……（随意说法、原形）
아니면|或者、要不然
이거를|这个（作宾语，口语）
싶다라고|说想要……（口语引用）
생각했을|曾想过、想到……的时候
되면서|成为……的同时
영양가|营养价值；这里比喻收获、价值
배움이|学习、学到的东西（作主语）
되지|成为（这里后接自问）
않나|不是……吗（自问、推测）
어릴|年幼的、小时候的
때는|……的时候呢
부모님들이|父母（尊称，作主语）
염색이나|染发之类的、染发或……
피어싱|穿孔饰品；打耳洞等穿孔行为
해주시잖아요|会为我做嘛、会让我做嘛（这里前有 안 表否定）
엄마는|妈妈呢、说到妈妈
하라고|说让去做、叫人做
하셔가지고|因为说了……、因为做了……（尊敬、口语）
엄마|妈妈
싶어|想要……（随意说法）
염색하고|染发；染发并……
해|做；做吧（随意说法）
해봐야지|应该试试看、得做做看
하면서|一边说、一边做；说着……
해주셨어요|为我做了、让我做了（尊敬）
때부터|从……时候开始
피어싱도|穿孔、打耳洞也
옛날|以前、从前
영상이|视频（作主语）
춤춘|跳过舞的、跳舞时的
영상|视频
밖에|只有、除……之外（与否定连用）
없지만|虽然没有、虽然只有……
영상들|那些视频
보면은|如果看、看一看的话（口语）
금발도|金发也
핑크머리도|粉色头发也
그랬습니다|是那样过的、做过那些事（正式礼貌）
